"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"mouse-bite,mouse-bite";"mouse-bite-5.00mm-frame";2;"VAL**";;;
2;"G***";"OpenKNX_Logo_14x09";1;"LOGO";;;
3;"D1";"LED_0603_1608Metric";1;"Prog";;;
4;"D2";"LED_0603_1608Metric";1;"Func";;;
5;"SW4";"SW_Push_Xunpu_TS-1089S";1;"BL";;;
6;"SW3";"SW_Push_Xunpu_TS-1089S";1;"Res";;;
7;"SW2";"SW_Push_Xunpu_TS-1089S";1;"Func";;;
8;"R2,R1";"R_0402_1005Metric";2;"R";;;
9;"SW1";"SW_Push_Xunpu_TS-1089S";1;"Prog";;;
10;"J1";"PinHeader_2x04_P2.00mm_Vertical_SMD";1;"Conn_02x04_Odd_Even";;;
