Designator,Footprint,Quantity,Value,LCSC Part #
"D1_5, D1_4, D1_3, D1_2, D1",0603,5,Prog,C2286
"D2_5, D2_4, D2_3, D2_2, D2",0603,5,Led1,C72043
"D3_5, D3_4, D3_3, D3_2, D3",0603,5,Led2,C72043
"D4_5, D4_4, D4_3, D4_2, D4",0603,5,Led3,C72043
"D5_5, D5_4, D5_3, D5_2, D5",0603,5,Power,C72043
"J1_5, J1_4, J1_3, J1_2, J1",C11050_FPC-SMD_P0.5-10P_LSXJ-H2.0-10P,5,Frontpanel,C11050
"R1_5, R1_4, R1_3, R1_2, R1, R2_5, R2_4, R2_3, R2_2, R2, R3_5, R3_4, R3_3, R3_2, R3, R4_5, R4_4, R4_3, R4_2, R4, R5_5, R5_4, R5_3, R5_2, R5",0402,25,2k2,C25879
"SW1_5, SW1_4, SW1_3, SW1_2, SW1",C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,5,Prog,C455282
"SW2_5, SW2_4, SW2_3, SW2_2, SW2",C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,5,Btn1,C455282
"SW3_5, SW3_4, SW3_3, SW3_2, SW3",C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,5,Res,C455282
"SW4_5, SW4_4, SW4_3, SW4_2, SW4",C455282_SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,5,BL,C455282
