Designator,Mid X,Mid Y,Rotation,Layer
D1,59.0,-47.0,90.0,top
D10,77.0,-83.0,90.0,top
D11,95.0,-47.0,90.0,top
D12,95.0,-53.0,90.0,top
D13,95.0,-59.2125,90.0,top
D14,95.0,-65.0,90.0,top
D15,95.0,-83.0,90.0,top
D16,113.0,-47.0,90.0,top
D17,113.0,-53.0,90.0,top
D18,113.0,-59.2125,90.0,top
D19,113.0,-65.0,90.0,top
D2,59.0,-53.0,90.0,top
D20,113.0,-83.0,90.0,top
D21,131.0,-47.0,90.0,top
D22,131.0,-53.0,90.0,top
D23,131.0,-59.2125,90.0,top
D24,131.0,-65.0,90.0,top
D25,131.0,-83.0,90.0,top
D3,59.0,-59.2125,90.0,top
D4,59.0,-65.0,90.0,top
D5,59.0,-83.0,90.0,top
D6,77.0,-47.0,90.0,top
D7,77.0,-53.0,90.0,top
D8,77.0,-59.2125,90.0,top
D9,77.0,-65.0,90.0,top
J1,54.0,-76.1,180.0,top
J2,72.0,-76.1,180.0,top
J3,90.0,-76.1,180.0,top
J4,108.0,-76.1,180.0,top
J5,126.0,-76.1,180.0,top
R1,54.2,-70.575,270.0,top
R10,78.5,-78.99,90.0,top
R11,90.2,-70.575,270.0,top
R12,85.4,-73.35,180.0,top
R13,89.49,-73.35,0.0,top
R14,92.0,-73.35,180.0,top
R15,96.5,-78.99,90.0,top
R16,108.2,-70.575,270.0,top
R17,103.4,-73.35,180.0,top
R18,107.49,-73.35,0.0,top
R19,110.0,-73.35,180.0,top
R2,49.4,-73.35,180.0,top
R20,114.5,-78.99,90.0,top
R21,126.2,-70.575,270.0,top
R22,121.4,-73.35,180.0,top
R23,125.49,-73.35,0.0,top
R24,128.0,-73.35,180.0,top
R25,132.5,-78.99,90.0,top
R3,53.49,-73.35,0.0,top
R4,56.0,-73.35,180.0,top
R5,60.5,-78.99,90.0,top
R6,72.2,-70.575,270.0,top
R7,67.4,-73.35,180.0,top
R8,71.49,-73.35,0.0,top
R9,74.0,-73.35,180.0,top
SW1,50.0,-47.0,0.0,top
SW10,86.0,-53.0,0.0,top
SW11,94.0,-71.0,0.0,top
SW12,86.0,-71.0,0.0,top
SW13,104.0,-47.0,0.0,top
SW14,104.0,-53.0,0.0,top
SW15,112.0,-71.0,0.0,top
SW16,104.0,-71.0,0.0,top
SW17,122.0,-47.0,0.0,top
SW18,122.0,-53.0,0.0,top
SW19,130.0,-71.0,0.0,top
SW2,50.0,-53.0,0.0,top
SW20,122.0,-71.0,0.0,top
SW3,58.0,-71.0,0.0,top
SW4,50.0,-71.0,0.0,top
SW5,68.0,-47.0,0.0,top
SW6,68.0,-53.0,0.0,top
SW7,76.0,-71.0,0.0,top
SW8,68.0,-71.0,0.0,top
SW9,86.0,-47.0,0.0,top
